Timestamp,Temperature
19.1.2015 klo 5.50.05,"−11,50"
19.1.2015 klo 5.55.05,"−11,63"
19.1.2015 klo 6.00.05,"−11,75"
19.1.2015 klo 6.05.33,"−11,75"
19.1.2015 klo 6.10.05,"−11,88"
19.1.2015 klo 6.15.05,"−11,94"
19.1.2015 klo 6.20.05,"−12,00"
19.1.2015 klo 6.25.05,"−12,00"
19.1.2015 klo 6.33.05,
19.1.2015 klo 6.38.05,
19.1.2015 klo 6.43.33,
19.1.2015 klo 6.48.06,
19.1.2015 klo 6.53.07,
19.1.2015 klo 6.58.07,
19.1.2015 klo 7.03.07,
19.1.2015 klo 7.08.06,
19.1.2015 klo 7.13.06,
19.1.2015 klo 7.18.06,
19.1.2015 klo 7.23.06,
19.1.2015 klo 7.28.16,
19.1.2015 klo 7.33.04,
19.1.2015 klo 7.38.06,
19.1.2015 klo 7.43.05,
19.1.2015 klo 7.48.06,
19.1.2015 klo 7.53.05,
19.1.2015 klo 7.55.04,"−12,75"
19.1.2015 klo 8.00.04,"−12,81"
19.1.2015 klo 8.05.04,"−12,81"
19.1.2015 klo 8.10.04,"−12,88"
19.1.2015 klo 8.15.04,"−12,88"
19.1.2015 klo 8.20.04,"−12,94"
19.1.2015 klo 8.25.04,"−13,00"
19.1.2015 klo 8.30.04,"−13,06"
19.1.2015 klo 8.35.04,"−13,06"
19.1.2015 klo 8.40.04,"−13,06"
19.1.2015 klo 8.45.04,"−13,19"
19.1.2015 klo 8.50.04,"−13,25"
19.1.2015 klo 8.55.04,"−13,19"
19.1.2015 klo 9.00.04,"−13,19"
19.1.2015 klo 9.05.04,"−13,19"
19.1.2015 klo 9.10.04,"−13,38"
19.1.2015 klo 9.15.04,"−13,31"
19.1.2015 klo 9.20.04,"−13,38"
19.1.2015 klo 9.25.04,"−13,44"
19.1.2015 klo 9.30.04,"−13,44"
19.1.2015 klo 9.35.04,"−13,31"
19.1.2015 klo 9.40.04,"−13,38"
19.1.2015 klo 9.45.05,"−13,44"
19.1.2015 klo 9.50.04,"−13,50"
19.1.2015 klo 9.55.05,"−13,63"
19.1.2015 klo 10.00.04,"−13,56"
19.1.2015 klo 10.05.04,"−13,69"
19.1.2015 klo 10.10.04,"−13,69"
19.1.2015 klo 10.15.04,"−13,69"
19.1.2015 klo 10.20.29,"−13,75"
19.1.2015 klo 10.25.04,"−13,75"
19.1.2015 klo 10.30.04,"−14,00"
19.1.2015 klo 10.35.04,"−14,00"
19.1.2015 klo 10.40.04,"−13,94"
19.1.2015 klo 10.45.19,"−14,13"
19.1.2015 klo 10.50.14,"−13,94"
19.1.2015 klo 10.55.04,"−14,13"
19.1.2015 klo 11.00.04,"−13,94"
19.1.2015 klo 11.05.04,"−14,00"
